Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
netora01,29,0.538,1.9,3.1,7.5,0.0,0.8,Raul Neto,G,PG,2022,False,N
newmama01,24,0.68,1.0,1.0,8.0,0.0,0.0,Malik Newman,G,PG,2022,False,N
niangge01,28,0.594,2.7,1.3,9.2,0.2,0.4,Georges Niang,F,PF,2022,False,N
nixda01,19,0.48,1.4,1.7,3.2,0.0,0.6,Daishen Nix,G,SG,2022,False,N
nnajize01,21,0.629,3.6,0.4,6.6,0.3,0.4,Zeke Nnaji,F,PF,2022,False,N
noelne01,27,0.581,5.6,0.9,3.4,1.2,1.2,Nerlens Noel,C,C,2022,False,N
nowelja01,22,0.581,2.0,2.1,8.5,0.2,0.4,Jaylen Nowell,G,SG,2022,False,N
ntilila01,23,0.513,1.4,1.2,4.1,0.1,0.5,Frank Ntilikina,G,SG,2022,False,N
nurkiju01,27,0.586,11.1,2.8,15.0,0.6,1.1,Jusuf Nurkić,C,C,2022,False,N
nwabada01,29,0.567,3.3,0.8,5.1,0.4,0.6,David Nwaba,F,SF,2022,False,N
nworajo01,23,0.506,3.6,1.0,7.9,0.3,0.4,Jordan Nwora,F,SF,2022,False,N
ojelese01,27,0.461,2.3333333333333335,0.3333333333333333,3.433333333333333,0.19999999999999998,0.2333333333333333,Semi Ojeleye,F,PF,2022,False,N
okekech01,23,0.501,5.0,1.7,8.6,0.6,1.4,Chuma Okeke,F,PF,2022,False,N
okogijo01,23,0.526,1.4,0.5,2.7,0.2,0.5,Josh Okogie,G,SG,2022,False,N
okongon01,21,0.714,5.9,1.1,8.2,1.3,0.6,Onyeka Okongwu,C,C,2022,False,N
okorois01,21,0.589,3.0,1.8,8.8,0.3,0.8,Isaac Okoro,F,SF,2022,False,N
okpalkz01,22,0.521,2.0,0.7,3.7,0.3,0.2,KZ Okpala,F,PF,2022,False,N
oladivi01,29,0.608,2.9,3.5,12.4,0.1,0.6,Victor Oladipo,G,SG,2022,False,N
oliveca01,25,0.705,3.0,1.5,11.5,0.5,0.5,Cameron Oliver,F,SF,2022,False,N
olynyke01,30,0.561,4.4,2.8,9.1,0.5,0.8,Kelly Olynyk,C,C,2022,False,N
omorueu01,24,0.518,1.8,0.5,1.8,0.0,0.0,Eugene Omoruyi,F,SF,2022,False,N
onealro01,28,0.608,4.8,2.5,7.4,0.4,1.1,Royce O'Neale,F,SF,2022,False,N
onimi01,24,0.265,0.4,0.3,0.3,0.0,0.0,Miye Oni,G,SG,2022,False,N
osmande01,26,0.563,2.2,2.0,10.7,0.2,0.8,Cedi Osman,F,SF,2022,False,N
oturuda01,22,0.549,1.7,0.0,3.0,0.7,0.0,Daniel Oturu,C,C,2022,False,N
oubreke01,26,0.56,4.0,1.1,15.0,0.4,1.0,Kelly Oubre Jr.,F,SF,2022,False,N
paigeja01,27,0.0,1.0,1.0,0.0,0.0,0.0,Jaysean Paige,G,PG,2022,False,N
palmetr01,27,0.0,2.0,0.0,0.0,0.0,0.0,Trayvon Palmer,G,SG,2022,False,N
pangoke01,29,0.408,0.5,1.3,1.6,0.0,0.1,Kevin Pangos,G,PG,2022,False,N
parkeja01,26,0.632,2.3,0.5,4.4,0.1,0.3,Jabari Parker,F,PF,2022,False,N
pascher01,25,0.612,1.8,0.6,5.8,0.1,0.2,Eric Paschall,F,PF,2022,False,N
paulch01,36,0.581,4.4,10.8,14.7,0.3,1.9,Chris Paul,G,PG,2022,True,N
payneca01,27,0.5,3.0,4.9,10.8,0.3,0.7,Cameron Payne,G,PG,2022,False,N
paytoel01,27,0.397,1.8,2.0,3.0,0.1,0.5,Elfrid Payton,G,PG,2022,False,N
